Kod;Nazwa;MIESIAC;Rodzaj ;Cena_i_wska�niki;Rok;Wartosc;Jednostka_miary;Atrybut
0;POLSKA;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2014;190,57;zł;
0;POLSKA;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2015;194,77;zł;
0;POLSKA;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2016;197,23;zł;
0;POLSKA;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2017;199,82;zł;
0;POLSKA;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2018;201,84;zł;
0;POLSKA;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2019;205;zł;
0;POLSKA;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2006;140,34;zł;
0;POLSKA;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2007;143,26;zł;
0;POLSKA;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2008;148,11;zł;
0;POLSKA;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2009;153,27;zł;
0;POLSKA;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2010;158,34;zł;
0;POLSKA;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2011;161,92;zł;
0;POLSKA;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2012;168,28;zł;
0;POLSKA;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2013;173,4;zł;
0;POLSKA;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2014;181,53;zł;
0;POLSKA;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2015;184,17;zł;
0;POLSKA;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2016;186,16;zł;
0;POLSKA;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2017;189,39;zł;
